"date_released","f_size","ave_test_age","percent_agree","cv","area","common_name"
"2007-06-12",985,5.41,75.8,3.51,"GOA","WALLEYE POLLOCK"
"2001-01-02",269,5.56,83.3,2,"SHELIKOF","WALLEYE POLLOCK"
"2023-01-12",533,4.12,93.4,1.25,"BS","WALLEYE POLLOCK"
"2022-01-04",420,5,73.8,3.66,"GOA","WALLEYE POLLOCK"
"2002-09-24",280,4.3,82.1,2.8,"SHEILIKOF","WALLEYE POLLOCK"
"2022-01-18",392,2.68,84.4,4,"GOA","WALLEYE POLLOCK"
"2003-10-22",280,3.61,69.6,6.72,"GOA","WALLEYE POLLOCK"
"2020-07-27",384,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2002-06-27",268,5.3,77.8,3.3,"GOA","WALLEYE POLLOCK"
"2019-08-01",595,5.76,76.7,2.86,"GOA","WALLEYE POLLOCK"
"2014-08-01",497,5.77,64,5.72,"Shelikof","WALLEYE POLLOCK"
"2014-01-27",505,4.55,75.2,3.42,NA,"WALLEYE POLLOCK"
"2000-03-29",420,4.83,68.9,4.5,"610,620,630","WALLEYE POLLOCK"
"2011-07-12",575,3.63,73.5,4.93,"GOA","WALLEYE POLLOCK"
"2001-02-18",118,5.83,87,1.4,"649,640,621","WALLEYE POLLOCK"
"2020-07-21",477,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2005-07-25",552,4.41,78.4,3.35,"GOA","WALLEYE POLLOCK"
"2003-06-25",303,3.5,71.7,5.52,"GOA","WALLEYE POLLOCK"
"2019-09-10",140,5.04,50,6.76,"BS","WALLEYE POLLOCK"
"2022-01-04",420,3.19,92.9,1.33,"GOA","WALLEYE POLLOCK"
"2022-08-22",349,4.27,77.8,4.13,"GOA","WALLEYE POLLOCK"
"2019-08-12",280,5.93,62,5.34,"GOA","WALLEYE POLLOCK"
"2012-08-07",469,5.41,66.1,4.73,"GOA","WALLEYE POLLOCK"
"2010-06-09",1023,4.4,77.4,3.7,"GOA","WALLEYE POLLOCK"
"2003-04-16",264,4.62,55.8,8,"KODIAK","WALLEYE POLLOCK"
"2001-01-02",269,5.82,88.3,1.8,"SHELIKOF","WALLEYE POLLOCK"
"2005-07-25",567,4.55,76.8,4.12,"GOA","WALLEYE POLLOCK"
"2002-01-18",252,4.96,78,2.6,"KODIAK","WALLEYE POLLOCK"
"2023-01-12",525,4.62,76.9,3.36,"BS","WALLEYE POLLOCK"
"2001-01-02",262,3.71,84.6,2.7,"SHELIKOF","WALLEYE POLLOCK"
"2001-01-25",128,7.81,61.5,3.4,"610,631","WALLEYE POLLOCK"
"2019-08-01",567,5.48,82.1,2.26,"GOA","WALLEYE POLLOCK"
NA,174,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2019-09-10",140,5.54,67.9,4.21,"BS","WALLEYE POLLOCK"
"2012-02-28",495,4.11,80,3.45,"GOA","WALLEYE POLLOCK"
"2015-09-29",180,5.41,44.4,9.45,"GOA","WALLEYE POLLOCK"
"2002-06-27",209,6.38,66.7,3.5,"GOA","WALLEYE POLLOCK"
"2006-10-12",140,5.93,71.4,3.96,"Sheilikof","WALLEYE POLLOCK"
"2003-06-02",311,4.7,75.2,4.85,"Sheilikof","WALLEYE POLLOCK"
"2012-08-30",678,5,66.3,6.03,"GOA","WALLEYE POLLOCK"
"2014-08-01",477,4.56,68.8,4.69,"Shelikof","WALLEYE POLLOCK"
"2019-09-10",420,4.7,89.2,1.41,"GOA","WALLEYE POLLOCK"
"2020-03-02",420,3.51,89.3,1.32,"GOA","WALLEYE POLLOCK"
"2020-07-21",454,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2001-04-25",300,6.14,68.4,4.4,"630,610,","WALLEYE POLLOCK"
"2022-07-28",432,3.84,90.7,1.57,"BS","WALLEYE POLLOCK"
"2000-06-07",145,5.62,75.9,3.7,"620,630","WALLEYE POLLOCK"
"2017-07-10",593,4.01,96.6,0.74,"GOA","WALLEYE POLLOCK"
"2011-07-12",323,4.22,92.2,1.29,"GOA","WALLEYE POLLOCK"
"2004-10-14",250,5.08,62.5,6.1,"Sheilikof","WALLEYE POLLOCK"
"2004-10-14",259,4.45,84.3,2.74,"Sheilikof","WALLEYE POLLOCK"
"2016-03-01",418,5.46,71.1,3.63,"GOA","WALLEYE POLLOCK"
"2003-06-02",371,4.38,78.8,3.3,"Sheilikof","WALLEYE POLLOCK"
"2021-06-21",439,6.61,62.5,4.73,"BS","WALLEYE POLLOCK"
"2022-07-27",401,5.99,72.2,3.05,"GOA","WALLEYE POLLOCK"
"2020-08-10",488,6.19,76.9,2.89,"AI","WALLEYE POLLOCK"
"2021-11-15",66,4.58,75,3.04,"GOA","WALLEYE POLLOCK"
"2017-08-31",419,4.62,95.2,0.73,"GOA","WALLEYE POLLOCK"
"2021-06-01",340,6.2,60.7,6.19,"GOA","WALLEYE POLLOCK"
"2006-10-12",279,6,62.5,4.33,"Sheilikof","WALLEYE POLLOCK"
"2003-07-24",495,6.65,66.7,4.2,"GOA","WALLEYE POLLOCK"
"2020-07-27",405,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2022-07-27",421,4.49,85.9,1.93,"BS","WALLEYE POLLOCK"
"2019-07-22",593,5.68,82.2,2.06,"BS","WALLEYE POLLOCK"
"2014-06-09",840,3.98,79.5,2.3,"GOA","WALLEYE POLLOCK"
"2020-07-27",463,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2001-02-02",90,6.28,77.8,3.1,"630,631,649,621,610","WALLEYE POLLOCK"
"2000-05-22",144,6.48,72.4,4.1,"620,630,649","WALLEYE POLLOCK"
"2020-07-27",393,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2016-03-01",353,3.7,75.7,4.31,"GOA","WALLEYE POLLOCK"
"2019-05-09",495,6.06,75.8,2.82,"AI","WALLEYE POLLOCK"
"2021-08-19",482,4.97,70.5,4.67,"GOA","WALLEYE POLLOCK"
"2000-06-13",140,4.85,85.2,3.1,"610,620,630","WALLEYE POLLOCK"
"2019-09-10",140,5.75,71.4,3.26,"BS","WALLEYE POLLOCK"
"2022-07-27",465,6.16,63.7,4.26,"BS","WALLEYE POLLOCK"
"2020-07-27",524,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2022-08-29",436,3.98,73.8,5.01,"GOA","WALLEYE POLLOCK"
"2006-10-12",227,5.65,51.9,7.13,"Sheilikof","WALLEYE POLLOCK"
"2012-04-27",114,4.61,73.9,3.81,"GOA","WALLEYE POLLOCK"
"2022-08-22",404,4.03,81.2,3.72,"GOA","WALLEYE POLLOCK"
"2014-06-09",202,6.93,70,4.13,"Shumagin","WALLEYE POLLOCK"
"2001-01-31",101,6.6,65,3.2,"630,610,620","WALLEYE POLLOCK"
"2002-03-21",228,4.13,73.9,4.1,"GOA","WALLEYE POLLOCK"
"2014-09-02",116,5.78,69.6,5.48,"GOA","WALLEYE POLLOCK"
"2005-09-28",400,4.75,88.8,1.62,"Shelikof","WALLEYE POLLOCK"
"2019-08-01",553,5.84,81.8,2.31,"GOA","WALLEYE POLLOCK"
"2019-09-09",384,5.79,63.6,5.06,"BS","WALLEYE POLLOCK"
"2009-06-01",280,4.91,66.1,5.11,"GOA","WALLEYE POLLOCK"
"2009-06-01",320,4.72,62.5,5.93,"GOA","WALLEYE POLLOCK"
"2019-09-09",413,5.69,64.2,5.15,"BS","WALLEYE POLLOCK"
"2021-08-19",529,4.49,84,2.15,"GOA","WALLEYE POLLOCK"
"2002-01-24",299,5.86,74.6,3.8,"SHUMAGIN","WALLEYE POLLOCK"
"2020-03-02",398,4.19,76.3,3.31,"GOA","WALLEYE POLLOCK"
"2012-02-23",558,4.09,58,7.98,"GOA","WALLEYE POLLOCK"
"2004-10-14",381,4.5,77.6,3.59,"Sheilikof","WALLEYE POLLOCK"
"2005-09-28",232,4.46,76.1,3.78,"Sheilikof","WALLEYE POLLOCK"
"2000-03-29",430,3.26,88.1,2.4,"630,640,650","WALLEYE POLLOCK"
"2020-09-22",350,6.41,81.4,2.15,"GOA","WALLEYE POLLOCK"
"2014-10-07",77,1.67,100,0,"GOA","WALLEYE POLLOCK"
"2002-03-07",511,3.53,76.7,4.2,"GOA","WALLEYE POLLOCK"
"2008-07-17",354,5.91,68.6,3.86,"GOA","WALLEYE POLLOCK"
"2019-09-10",85,5.06,94.1,0.76,"BS","WALLEYE POLLOCK"
"2005-07-25",566,4.94,73.3,3.96,"GOA","WALLEYE POLLOCK"
"2016-03-01",398,5.4,66.7,4.65,"GOA","WALLEYE POLLOCK"
"2009-09-08",311,4.95,70.5,4.02,"Sheilikof","WALLEYE POLLOCK"
"2000-05-22",114,7.5,45.8,6.2,"610,620,630","WALLEYE POLLOCK"
"2002-01-24",280,5.41,65.6,4.1,"SHUMAGIN","WALLEYE POLLOCK"
"2020-07-21",436,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2021-08-19",520,4.7,79.4,3.19,"GOA","WALLEYE POLLOCK"
"2012-06-11",553,5.11,77.7,3.17,"GOA","WALLEYE POLLOCK"
"2013-08-08",714,5.43,72,3.41,"GOA","WALLEYE POLLOCK"
"2020-09-22",400,6.3,78.8,2.49,"GOA","WALLEYE POLLOCK"
"2013-08-27",581,6.52,71.9,3.21,"Shelikof Strait","WALLEYE POLLOCK"
"2003-12-05",141,2.26,96.3,1.05,"Kodiak","WALLEYE POLLOCK"
"2004-07-28",325,3.66,81.5,3.24,"GOA","WALLEYE POLLOCK"
"2002-09-26",254,7.2,75.5,2.5,"GOA SHELF BREAK","WALLEYE POLLOCK"
"2001-03-30",279,6.17,53.7,6.1,"KODIAK","WALLEYE POLLOCK"
"2014-06-09",662,5.81,63.8,4.7,"GOA","WALLEYE POLLOCK"
"2004-03-31",440,3.49,84.3,3.19,"Chirik,Kodiak+Shum","WALLEYE POLLOCK"
"2020-07-27",475,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2016-06-28",407,4.45,87.5,1.65,"GOA","WALLEYE POLLOCK"
"2006-06-21",452,3.22,68.5,7.81,"GOA","WALLEYE POLLOCK"
"2015-07-02",600,6.62,44.5,8.41,"AI","WALLEYE POLLOCK"
"2016-06-28",511,3.5,89.3,1.34,"GOA","WALLEYE POLLOCK"
NA,158,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2002-01-18",248,5.02,72,5.2,"KODIAK","WALLEYE POLLOCK"
"2020-07-21",496,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2001-06-15",305,6,62.3,6.3,"630,610,","WALLEYE POLLOCK"
"2018-03-13",308,4.48,80.4,3.16,"GOA","WALLEYE POLLOCK"
"2022-08-22",420,4.77,79.3,2.99,"GOA","WALLEYE POLLOCK"
"2012-02-28",420,4.18,78.6,3.58,"GOA","WALLEYE POLLOCK"
"2023-01-12",552,4.63,77.5,3.86,"BS","WALLEYE POLLOCK"
"2019-09-10",78,5.69,68.8,3.22,"BS","WALLEYE POLLOCK"
"2019-08-12",320,5.89,65.6,4.56,"GOA","WALLEYE POLLOCK"
"2012-02-28",418,6.02,72,3.87,"GOA","WALLEYE POLLOCK"
"2002-06-27",252,6.24,67.3,4.1,"GOA","WALLEYE POLLOCK"
"2001-02-13",125,6.76,84,3,"621,630,631,621,639,","WALLEYE POLLOCK"
"2004-03-31",431,3.78,79.3,3.18,"Kodiak??","WALLEYE POLLOCK"
"2012-02-23",560,5.06,71.8,3.41,"GOA","WALLEYE POLLOCK"
"2022-10-11",2610,1.86,96,0.97,"BS","WALLEYE POLLOCK"
"2007-06-12",252,4.22,64,7.56,"GOA","WALLEYE POLLOCK"
"2010-06-09",840,5.23,62.9,5.46,"GOA","WALLEYE POLLOCK"
NA,30,NA,NA,NA,NA,"WALLEYE POLLOCK"
"2016-01-12",370,5.07,69.3,4.7,"GOA","WALLEYE POLLOCK"
"2008-02-08",420,3.79,78.6,3.55,"GOA","WALLEYE POLLOCK"
"2000-05-22",169,6.82,57.6,5.6,"610,640,649","WALLEYE POLLOCK"
"2000-05-25",187,6.11,57.9,6.7,"610,620,630","WALLEYE POLLOCK"
"2019-09-10",140,5.93,75,2.98,"BS","WALLEYE POLLOCK"
"2009-06-01",545,3.43,80.6,3.45,"GOA","WALLEYE POLLOCK"
"2019-07-22",627,5.77,80.8,2.55,"BS","WALLEYE POLLOCK"
"2018-06-26",563,4.96,86.6,2.08,"GOA","WALLEYE POLLOCK"
"2013-08-08",794,5.42,69.9,4.22,"GOA","WALLEYE POLLOCK"
"2015-07-02",747,5.62,59.6,5.36,"GOA","WALLEYE POLLOCK"
"2000-05-25",201,6.87,53.8,6.7,"610,620,630","WALLEYE POLLOCK"
"2017-07-20",600,5.13,58,6.47,"GOA","WALLEYE POLLOCK"
"2001-03-30",280,6.89,75.9,3.2,"KODIAK","WALLEYE POLLOCK"
"2007-05-07",124,4.88,66.7,6.34,"GOA","WALLEYE POLLOCK"
"2000-06-13",136,5.63,73.7,3.2,"610,620,630","WALLEYE POLLOCK"
"2012-09-07",521,4.16,81.6,3,"GOA","WALLEYE POLLOCK"
"2017-07-10",601,4.28,87.6,2.17,"GOA","WALLEYE POLLOCK"
"2003-04-16",280,5,57.1,7.06,"KODIAK","WALLEYE POLLOCK"
"2001-09-04",230,3.49,95.6,0.5,"620,621","WALLEYE POLLOCK"
"2004-10-14",237,4.74,85.1,2.1,"Sheilikof","WALLEYE POLLOCK"
"2000-03-29",420,6.19,65.3,4.5,"610","WALLEYE POLLOCK"
NA,NA,NA,NA,NA,NA,"WALLEYE POLLOCK"
"2022-09-07",420,6.99,51.2,6.48,"BS","WALLEYE POLLOCK"
"2012-06-11",576,4.32,68.4,5.2,"GOA","WALLEYE POLLOCK"
"2017-07-20",596,4.32,86.8,2.17,"GOA","WALLEYE POLLOCK"
"2022-07-27",498,6.65,64.4,4.05,"BS","WALLEYE POLLOCK"
"2022-07-27",404,3.73,86.4,2.04,"BS","WALLEYE POLLOCK"
"2016-06-28",590,5.19,70.9,4.4,"GOA","WALLEYE POLLOCK"
"2021-06-21",482,6.22,53.1,6.01,"BS","WALLEYE POLLOCK"
"2000-05-02",100,6,85,1.3,"621,610,630","WALLEYE POLLOCK"
"2004-03-31",490,3.36,93.9,0.78,"Kodiak","WALLEYE POLLOCK"
"2002-03-07",420,3.37,90.4,1.6,"GOA","WALLEYE POLLOCK"
"2002-09-24",280,5.71,67.3,4.1,"SHEILIKOF","WALLEYE POLLOCK"
"2022-09-07",420,7.04,56,5.45,"BS","WALLEYE POLLOCK"
"2001-03-07",132,6.38,92.3,0.9,"610,631,630,621","WALLEYE POLLOCK"
"2014-01-27",531,4.39,74.5,3.94,"goa","WALLEYE POLLOCK"
"2007-08-15",600,5.74,59.3,6.75,"GOA","WALLEYE POLLOCK"
NA,320,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2011-07-06",532,4.1,61.9,6.86,"GOA","WALLEYE POLLOCK"
"2021-07-21",596,6.26,71.2,3.55,"GOA","WALLEYE POLLOCK"
"2006-05-25",801,5.24,59.4,6.51,"GOA","WALLEYE POLLOCK"
"2014-06-09",730,3.42,79.3,3.61,"GOA","WALLEYE POLLOCK"
"2015-09-29",280,4.4,64.4,7.39,"GOA","WALLEYE POLLOCK"
"2000-06-13",169,5.24,76.5,3.6,"620,630","WALLEYE POLLOCK"
"2018-06-26",570,4.95,92,1.18,"GOA","WALLEYE POLLOCK"
"2000-06-07",143,7.53,60,3.7,"610,620,630","WALLEYE POLLOCK"
"2001-02-02",143,6.46,71.4,3.8,"630,620,631","WALLEYE POLLOCK"
"2020-07-27",483,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2021-08-02",326,4.42,76.9,3.91,"GOA","WALLEYE POLLOCK"
"2019-09-10",420,5.27,89.3,1.22,"GOA","WALLEYE POLLOCK"
"2000-05-02",185,5.78,69.4,4.9,"620,630,649","WALLEYE POLLOCK"
"2002-06-27",242,4.43,69.6,6.5,"GOA","WALLEYE POLLOCK"
"2019-08-01",421,6.31,71.8,3.55,"AI","WALLEYE POLLOCK"
"2003-01-13",179,2.28,97.8,0.6,"HYDROACOUS/KODIAK","WALLEYE POLLOCK"
"2007-06-12",528,4.88,70.2,4.7,"GOA","WALLEYE POLLOCK"
"2018-06-26",420,5.29,79.3,2.65,"GOA","WALLEYE POLLOCK"
"2019-09-10",272,6.32,69.8,3.73,"BS","WALLEYE POLLOCK"
"2016-01-12",483,4.03,69.4,5.04,"GOA","WALLEYE POLLOCK"
"2010-06-23",1053,3.88,84.7,2.54,"GOA","WALLEYE POLLOCK"
"2023-01-12",358,5.65,81.7,1.87,"BS","WALLEYE POLLOCK"
"2017-11-16",420,4.89,84.5,2.14,"GOA","WALLEYE POLLOCK"
"2022-07-27",381,4.75,76.3,3.49,"BS","WALLEYE POLLOCK"
"2001-05-21",242,5.83,75,3.7,"630,631,621","WALLEYE POLLOCK"
"2015-09-29",100,4.9,75,3.68,"GOA","WALLEYE POLLOCK"
NA,153,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2021-06-01",576,6.36,54.3,6.34,"BS","WALLEYE POLLOCK"
"2020-07-21",486,NA,NA,NA,"AI","WALLEYE POLLOCK"
"2022-07-28",365,5.86,62,4.77,"GOA","WALLEYE POLLOCK"
"2007-11-08",280,4.07,87.5,2.21,"Sheilikof","WALLEYE POLLOCK"
"2019-11-18",114,1,100,0,"BS","WALLEYE POLLOCK"
"2019-07-22",614,5.5,81.8,2.44,"BS","WALLEYE POLLOCK"
"2010-06-09",750,3.57,72.8,5.37,"GOA","WALLEYE POLLOCK"
"2006-06-30",1008,5.36,76.9,3.3,"GOA","WALLEYE POLLOCK"
"2022-09-07",139,5.89,70.2,3.97,"BS","WALLEYE POLLOCK"
"2021-09-28",280,6.05,71.4,3.36,"BS","WALLEYE POLLOCK"
"2009-05-14",508,3.59,83.7,2.43,"GOA","WALLEYE POLLOCK"
"2020-09-22",400,5.9,77.5,2.67,"GOA","WALLEYE POLLOCK"
"2014-10-07",144,1.69,100,0,"GOA","WALLEYE POLLOCK"
"2002-06-27",262,5.53,76.5,4,"GOA","WALLEYE POLLOCK"
"2004-07-21",967,5.75,64.4,4.91,"GOA","WALLEYE POLLOCK"
"2022-01-18",280,4.53,76.4,3.35,"GOA","WALLEYE POLLOCK"
"2021-09-28",137,5.93,57.1,5.83,"BS","WALLEYE POLLOCK"
"2001-02-02",175,6.26,85.7,4.8,"630,631,640,649,610,","WALLEYE POLLOCK"
"2017-11-16",419,4.95,83.3,2.5,"GOA","WALLEYE POLLOCK"
"2005-07-25",571,3.8,71.3,5.13,"GOA","WALLEYE POLLOCK"
"2021-09-28",279,6.11,60,5.92,"BS","WALLEYE POLLOCK"
"2002-06-27",217,6.32,75,2.8,"GOA","WALLEYE POLLOCK"
"2016-06-28",545,3.44,87,2.23,"GOA","WALLEYE POLLOCK"
"2019-09-10",280,6.13,52.7,6.36,"BS","WALLEYE POLLOCK"
"2007-11-08",116,6.13,64.1,4.69,"Sheilikof","WALLEYE POLLOCK"
"2006-08-03",1045,4.7,80,3.08,"GOA","WALLEYE POLLOCK"
"2000-06-15",161,5.95,83.1,1.6,"610,620,630","WALLEYE POLLOCK"
"2000-12-22",100,5.95,93.9,0.08,"EGOA","WALLEYE POLLOCK"
"2022-07-28",400,4.26,81.2,2.75,"BS","WALLEYE POLLOCK"
"2003-10-22",283,2.34,78.6,6.52,"GOA","WALLEYE POLLOCK"
"2001-09-04",262,6.31,73.1,2.8,"621","WALLEYE POLLOCK"
"2020-03-02",559,4.15,84.4,1.59,"GOA","WALLEYE POLLOCK"
"2002-01-18",258,4.88,76,3.4,"KODIAK","WALLEYE POLLOCK"
"2019-09-10",280,5.81,65.4,4.79,"GOA","WALLEYE POLLOCK"
"2021-06-21",492,6.73,66.3,4.15,"BS","WALLEYE POLLOCK"
"2017-11-16",419,4.74,83.3,2.47,"GOA","WALLEYE POLLOCK"
"2009-06-02",554,5.83,73.4,3.44,"GOA","WALLEYE POLLOCK"
"2008-02-08",498,3.7,62.6,7.69,"GOA","WALLEYE POLLOCK"
"2011-06-06",600,5.02,61.5,6.39,"GOA","WALLEYE POLLOCK"
"2007-11-08",120,6.63,75,2.88,"Sheilikof","WALLEYE POLLOCK"
"2018-06-26",427,5.02,94.1,0.91,"GOA","WALLEYE POLLOCK"
NA,200,NA,NA,NA,"BS","WALLEYE POLLOCK"
"2022-01-04",420,3.31,75,6.59,"GOA","WALLEYE POLLOCK"
"2010-07-27",615,6,68.1,3.84,"Shelikof Strait","WALLEYE POLLOCK"
"2022-07-26",287,4.18,70.2,6.18,"GOA","WALLEYE POLLOCK"
"2019-09-10",140,5.5,57.1,6.52,"BS","WALLEYE POLLOCK"
"2019-07-22",555,5.5,82.7,2.48,"BS","WALLEYE POLLOCK"
"2001-05-30",292,6.32,62.5,4.3,"610,630,","WALLEYE POLLOCK"
"2021-06-21",458,5.52,70,4.37,"BS","WALLEYE POLLOCK"
"2020-10-05",345,7.04,52.2,4.85,"GOA","WALLEYE POLLOCK"
"2002-01-18",242,4.67,75.5,3.7,"KODIAK","WALLEYE POLLOCK"
"2016-06-28",358,4.21,77.5,3.97,"GOA","WALLEYE POLLOCK"
"2008-06-19",264,6.77,61.5,5.92,"GOA","WALLEYE POLLOCK"
"2002-06-27",178,5.23,60,8,"GOA","WALLEYE POLLOCK"
"2016-01-12",445,3.78,87.5,1.75,"GOA","WALLEYE POLLOCK"
"2006-06-30",286,3.04,71.9,7.07,"GOA","WALLEYE POLLOCK"
"2012-02-23",560,3.42,79.1,4.05,"GOA","WALLEYE POLLOCK"
"2020-10-05",251,10.02,44,4.45,"GOA","WALLEYE POLLOCK"
"2008-09-17",587,5.07,73.9,3.85,"Sheilikof","WALLEYE POLLOCK"
"2000-05-22",149,7.14,62.1,4.6,"610,620,630","WALLEYE POLLOCK"
"2006-10-12",51,5.2,70,3.46,"Sheilikof","WALLEYE POLLOCK"
"2007-11-08",160,5.69,71.9,3.76,"Sheilikof","WALLEYE POLLOCK"
"2009-09-08",115,5.65,56.5,5.57,"Sheilikof","WALLEYE POLLOCK"
NA,NA,NA,NA,NA,NA,"WALLEYE POLLOCK"
"2022-09-07",240,5.27,75,2.54,"BS","WALLEYE POLLOCK"
"2003-10-22",280,5.78,56.4,6.81,"GOA","WALLEYE POLLOCK"
"2008-06-18",851,3.16,83,2.86,"GOA","WALLEYE POLLOCK"
"2022-08-22",342,4.71,75.4,2.95,"GOA","WALLEYE POLLOCK"
"2008-02-08",420,3.46,77.1,4.81,"GOA","WALLEYE POLLOCK"
"2021-06-21",438,6.31,66.3,4.35,"BS","WALLEYE POLLOCK"
"2007-06-12",737,5.96,77.8,2.82,"GOA","WALLEYE POLLOCK"
"2021-08-02",420,4.45,75,3.58,"GOA","WALLEYE POLLOCK"
"2022-07-26",394,4.59,70.5,4.05,"GOA","WALLEYE POLLOCK"
"2021-09-28",139,7.48,44.4,7.45,"BS","WALLEYE POLLOCK"
"2001-09-04",208,4.98,70.7,3.5,"621, 631","WALLEYE POLLOCK"
"2006-10-16",89,3.94,77.8,3.26,"Sheilikof","WALLEYE POLLOCK"
"2007-05-07",277,6.19,59,5.28,"GOA","WALLEYE POLLOCK"
"2020-03-02",560,6.34,67.2,4.11,"GOA","WALLEYE POLLOCK"
"2021-09-28",140,7.7,51.9,6.41,"BS","WALLEYE POLLOCK"
NA,482,3.27,77.3,4.69,"GOA","WALLEYE POLLOCK"
"2016-01-12",390,3.9,87,1.83,"GOA","WALLEYE POLLOCK"
"2015-07-02",706,6.2,57.5,5.36,"GOA","WALLEYE POLLOCK"
"2013-08-08",235,5.17,61.7,5.19,"GOA","WALLEYE POLLOCK"
"2019-08-01",557,5.68,75.7,3.53,"GOA","WALLEYE POLLOCK"
"2000-06-13",133,7,64,4.1,"620,630","WALLEYE POLLOCK"
"2005-09-28",251,5.33,68.6,3.9,"Sheilikof","WALLEYE POLLOCK"
"2003-07-24",515,6.21,65.2,4.96,"GOA","WALLEYE POLLOCK"
NA,280,6.02,49.1,8.39,"GOA","WALLEYE POLLOCK"
"2019-08-01",122,7.35,52.2,5.39,"AI","WALLEYE POLLOCK"
"2014-01-27",504,4.92,85.1,1.74,NA,"WALLEYE POLLOCK"
"2022-01-04",355,3.77,80,3.44,"GOA","WALLEYE POLLOCK"
"2018-04-24",592,3.38,87.2,2.47,"GOA","WALLEYE POLLOCK"
"2003-07-24",488,3.39,64.9,8.86,"GOA","WALLEYE POLLOCK"
"2011-07-06",565,4.52,79.6,3.18,"GOA","WALLEYE POLLOCK"
"2010-02-19",380,4.8,81.6,2.55,NA,"WALLEYE POLLOCK"
"2013-01-11",280,6.25,56.4,5.19,"GOA","WALLEYE POLLOCK"
"2021-09-28",280,6.43,66.1,4.26,"BS","WALLEYE POLLOCK"
"2003-06-25",317,4.91,67.3,5.31,"GOA","WALLEYE POLLOCK"
"2013-08-08",542,5.24,73.6,3.67,"GOA","WALLEYE POLLOCK"
"2009-06-01",478,4.82,81.9,3.21,"GOA","WALLEYE POLLOCK"
"2013-01-11",280,6.27,51.8,7.53,"GOA","WALLEYE POLLOCK"
"2009-09-08",160,4.94,71.9,5,"Sheilikof","WALLEYE POLLOCK"
"2004-07-06",940,NA,NA,NA,"GOA","WALLEYE POLLOCK"
"2020-08-10",521,6.28,77.9,2.58,"AI","WALLEYE POLLOCK"
"2013-08-27",554,5.11,62.4,6.78,"Shelikof Strait","WALLEYE POLLOCK"
"2020-03-02",520,4.09,85.3,2,"GOA","WALLEYE POLLOCK"
"2002-06-27",267,6.3,73.6,3.5,"GOA","WALLEYE POLLOCK"
"2022-07-13",399,7.26,61.3,4.66,"BS","WALLEYE POLLOCK"
"2016-06-28",524,5.22,76.7,3.54,"GOA","WALLEYE POLLOCK"
"2015-07-02",729,4.98,59.3,6.83,"GOA","WALLEYE POLLOCK"
"2017-08-31",403,4.83,91.3,1.2,"GOA","WALLEYE POLLOCK"
"2008-06-19",624,5.97,66.7,4.67,"GOA","WALLEYE POLLOCK"
"2000-12-22",100,6.55,68.8,3.8,"PWS","WALLEYE POLLOCK"
"2022-09-07",131,5.92,84.6,1.42,"BS","WALLEYE POLLOCK"
"2018-04-24",558,5,97.3,0.37,"GOA","WALLEYE POLLOCK"
"2023-01-12",542,4.18,83.2,2.7,"BS","WALLEYE POLLOCK"
"2021-06-01",280,6.71,55.4,6.78,"GOA","WALLEYE POLLOCK"
"2017-06-12",614,4.07,90.2,1.8,"GOA","WALLEYE POLLOCK"
"2017-11-16",557,4.78,96.4,0.52,"GOA","WALLEYE POLLOCK"
"2002-09-24",50,5.3,100,0,"SHEILIKOF","WALLEYE POLLOCK"
"2011-07-06",280,4.79,91.1,1.18,"GOA","WALLEYE POLLOCK"
"2021-09-28",280,6.2,53.6,6.42,"BS","WALLEYE POLLOCK"
"2019-09-10",131,6.63,59.3,4.41,"BS","WALLEYE POLLOCK"
"2022-09-07",243,6.38,70.8,3.44,"BS","WALLEYE POLLOCK"
"2005-03-31",280,6.21,42.9,8.83,"GOA","WALLEYE POLLOCK"
"2018-06-26",487,5.04,94.7,0.68,"GOA","WALLEYE POLLOCK"
"2003-10-22",280,3.38,78.6,4.31,"GOA","WALLEYE POLLOCK"
"2021-06-01",485,5.9,64.9,4.58,"BS","WALLEYE POLLOCK"
"2014-06-09",691,5.37,62.6,6.46,"GOA","WALLEYE POLLOCK"
"2005-03-31",320,5.47,65.6,6.1,"GOA","WALLEYE POLLOCK"
"2015-09-29",419,5.52,71.4,3.53,"GOA","WALLEYE POLLOCK"
